,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 560 - 620,LOSE: 560 - 620,LOSE: 170 - 820,LOSE: 570 - 980,LOSE: -1 - 270,LOSE: 790 - 1410,LOSE: 180 - 230,WIN: 200 - 130,LOSE: 370 - 650,LOSE: 440 - 660,LOSE: 280 - 950,LOSE: -1 - 850,LOSE: 70 - 230,LOSE: 140 - 150,LOSE: 200 - 450,LOSE: 510 - 1040,LOSE: 140 - 1150,LOSE: -1 - 50
solve1.py-second,LOSE: 40 - 840,LOSE: 40 - 840,LOSE: 40 - 840,LOSE: 40 - 840,WIN: 1570 - 770,WIN: 1630 - 1050,WIN: 350 - 160,WIN: 330 - 220,WIN: 480 - 440,WIN: 940 - 370,LOSE: 750 - 780,LOSE: 380 - 430,LOSE: 170 - 350,WIN: 140 - 80,LOSE: 380 - 870,LOSE: 610 - 650,LOSE: 330 - 770,LOSE: 350 - 1110
solve2.py-first,WIN: 600 - 0,WIN: 560 - 0,WIN: 490 - 0,WIN: 350 - 0,LOSE: -1 - 0,WIN: 780 - 0,WIN: 460 - 0,WIN: 660 - 0,WIN: 380 - 0,WIN: 440 - 0,WIN: 190 - 0,LOSE: -1 - 0,WIN: 180 - 0,WIN: 80 - 0,WIN: 210 - 0,WIN: 110 - 0,WIN: 150 - 0,WIN: 110 - 0
solve2.py-second,WIN: 1410 - 0,WIN: 640 - 0,WIN: 620 - 0,WIN: 760 - 0,WIN: 1610 - 0,WIN: 1670 - 0,WIN: 390 - 0,WIN: 920 - 0,WIN: 1070 - 0,WIN: 1140 - 0,WIN: 990 - 0,WIN: 590 - 0,WIN: 60 - 0,WIN: 100 - 0,WIN: 580 - 0,WIN: 610 - 0,WIN: 540 - 0,WIN: 210 - 0
solve3.py-first,WIN: 600 - 340,WIN: 560 - 340,LOSE: 600 - 640,WIN: 560 - 230,LOSE: -1 - 170,WIN: 740 - 300,WIN: 300 - 130,LOSE: 110 - 320,LOSE: 150 - 290,WIN: 360 - 250,LOSE: 150 - 450,LOSE: 160 - 460,LOSE: 180 - 250,LOSE: 100 - 200,WIN: 450 - 300,LOSE: 480 - 810,LOSE: -1 - 360,LOSE: 260 - 450
solve3.py-second,WIN: 920 - 100,WIN: 660 - 240,WIN: 520 - 390,WIN: 450 - 320,WIN: 1070 - 480,WIN: 1610 - 480,WIN: 390 - 130,WIN: 510 - 230,WIN: 470 - 220,WIN: 830 - 230,WIN: 590 - 480,LOSE: 100 - 630,LOSE: 180 - 190,LOSE: 130 - 250,WIN: 580 - 460,WIN: 900 - 480,WIN: 560 - 490,WIN: 560 - 440
normalRandomWalk.py-first,LOSE: 560 - 1030,LOSE: 560 - 860,LOSE: 230 - 920,LOSE: 590 - 680,LOSE: -1 - 420,LOSE: 610 - 900,LOSE: 340 - 360,WIN: 410 - 370,WIN: 610 - 290,LOSE: 200 - 550,LOSE: 160 - 1170,LOSE: -1 - 420,LOSE: 180 - 450,LOSE: 160 - 360,LOSE: 440 - 810,LOSE: 480 - 770,LOSE: 210 - 750,LOSE: -1 - 120
normalRandomWalk.py-second,WIN: 990 - 720,WIN: 650 - 430,WIN: 520 - 400,LOSE: 490 - 530,WIN: 1070 - 680,WIN: 1670 - 720,WIN: 250 - 250,WIN: 380 - 340,LOSE: 320 - 440,LOSE: 490 - 640,WIN: 970 - 870,LOSE: 120 - 840,LOSE: 60 - 320,LOSE: 90 - 370,LOSE: 380 - 660,LOSE: 750 - 940,LOSE: 540 - 800,LOSE: 460 - 750
solve4.py-first,WIN: 580 - 570,LOSE: 560 - 890,LOSE: 600 - 1180,LOSE: 600 - 1590,LOSE: -1 - 420,LOSE: 590 - 2740,LOSE: 340 - 540,LOSE: 470 - 570,LOSE: 500 - 690,LOSE: 330 - 1030,LOSE: 750 - 1280,LOSE: -1 - 420,LOSE: 170 - 520,LOSE: 80 - 1000,LOSE: 440 - 1060,LOSE: 500 - 1330,LOSE: -1 - 480,LOSE: 380 - 990
solve4.py-second,LOSE: 900 - 950,LOSE: 630 - 1100,LOSE: 660 - 1150,LOSE: 450 - 1190,LOSE: 610 - 2030,LOSE: 1450 - 1860,LOSE: 340 - 430,LOSE: 550 - 580,LOSE: 590 - 620,LOSE: 590 - 820,LOSE: 270 - 1360,LOSE: -1 - 460,LOSE: 170 - 520,LOSE: 90 - 1000,LOSE: 550 - 1040,LOSE: 540 - 1310,LOSE: -1 - 480,LOSE: -1 - 430
solve5.py-first,LOSE: -1 - 900,LOSE: 600 - 640,LOSE: 590 - 660,LOSE: 600 - 770,LOSE: -1 - 80,LOSE: 810 - 1450,LOSE: 200 - 210,LOSE: 90 - 220,LOSE: 360 - 700,LOSE: 480 - 780,WIN: 480 - 450,WIN: -1 - -1,WIN: 170 - 170,LOSE: 120 - 140,LOSE: 440 - 580,LOSE: 510 - 900,WIN: 570 - 520,WIN: 0 - -1
solve5.py-second,WIN: 900 - -1,WIN: 640 - 600,WIN: 660 - 590,WIN: 770 - 600,WIN: 80 - -1,WIN: 1450 - 810,WIN: 210 - 200,WIN: 220 - 90,WIN: 700 - 360,WIN: 780 - 480,LOSE: 450 - 480,LOSE: -1 - -1,LOSE: 170 - 170,WIN: 140 - 120,WIN: 580 - 440,WIN: 900 - 510,LOSE: 520 - 570,LOSE: -1 - 0
