,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 390 - 810,LOSE: 450 - 780,LOSE: 650 - 940,WIN: 1440 - 950,LOSE: 900 - 1900,LOSE: 1640 - 2520,LOSE: 180 - 230,WIN: 180 - 110,WIN: 670 - 480,LOSE: 600 - 1070,WIN: 1570 - 640,LOSE: 1080 - 2010,LOSE: 310 - 360,LOSE: 80 - 150,LOSE: 900 - 2120,LOSE: 580 - 2890,LOSE: 680 - 3310,WIN: 990 - 960
solve1.py-second,WIN: 810 - 390,WIN: 780 - 450,WIN: 940 - 650,LOSE: 950 - 1440,WIN: 1900 - 900,WIN: 2520 - 1640,WIN: 230 - 180,LOSE: 110 - 180,LOSE: 480 - 670,WIN: 1070 - 600,LOSE: 640 - 1570,WIN: 2010 - 1080,WIN: 360 - 310,WIN: 150 - 80,WIN: 2120 - 900,WIN: 2890 - 580,WIN: 3310 - 680,LOSE: 960 - 990
solve2.py-first,WIN: 1160 - 0,WIN: 1160 - 0,WIN: 1670 - 0,WIN: 2150 - 0,WIN: 3420 - 0,WIN: 2940 - 0,WIN: 1070 - 0,WIN: 1740 - 0,WIN: 2650 - 0,WIN: 4130 - 0,WIN: 2960 - 0,WIN: 4360 - 0,WIN: 370 - 0,WIN: 80 - 0,WIN: 1050 - 0,WIN: 1380 - 0,WIN: 1120 - 0,WIN: 2500 - 0
solve2.py-second,WIN: 1300 - 0,WIN: 1300 - 0,WIN: 2220 - 0,WIN: 3220 - 0,WIN: 3560 - 0,WIN: 3060 - 0,WIN: 380 - 0,WIN: 1910 - 0,WIN: 2910 - 0,WIN: 3990 - 0,WIN: 3900 - 0,WIN: 4610 - 0,WIN: 1260 - 0,WIN: 150 - 0,WIN: 2290 - 0,WIN: 3340 - 0,WIN: 3620 - 0,WIN: 4380 - 0
solve3.py-first,WIN: 1160 - 320,WIN: 1160 - 320,WIN: 1090 - 550,WIN: 1930 - 230,WIN: 1410 - 310,WIN: 1990 - 290,WIN: 460 - 130,WIN: 430 - 320,WIN: 1210 - 800,WIN: 730 - 260,WIN: 2800 - 750,WIN: 3110 - 660,WIN: 370 - 240,LOSE: 80 - 220,WIN: 1050 - 300,WIN: 1200 - 790,LOSE: 1120 - 1750,WIN: 4640 - 450
solve3.py-second,LOSE: 800 - 1710,LOSE: 1020 - 3590,WIN: 2150 - 620,WIN: 2140 - 610,WIN: 3500 - 1100,WIN: 2560 - 2060,WIN: 1230 - 110,WIN: 930 - 250,WIN: 890 - 490,WIN: 1240 - 310,WIN: 3200 - 970,WIN: 2750 - 1220,WIN: 1260 - 210,LOSE: 150 - 310,WIN: 2290 - 530,WIN: 3030 - 520,WIN: 3290 - 480,WIN: 1690 - 490
normalRandomWalk.py-first,LOSE: 550 - 620,LOSE: 570 - 840,WIN: 1450 - 620,WIN: 1670 - 420,LOSE: 1270 - 2210,LOSE: 1630 - 3630,LOSE: 400 - 520,LOSE: 500 - 1390,LOSE: 1100 - 1330,LOSE: 900 - 1540,LOSE: 2170 - 2400,WIN: 2340 - 2110,LOSE: 320 - 620,LOSE: 80 - 1090,LOSE: 1050 - 1120,LOSE: 1030 - 1770,LOSE: 1120 - 3310,WIN: 2340 - 1230
normalRandomWalk.py-second,LOSE: 620 - 820,LOSE: 830 - 1310,LOSE: 960 - 1130,WIN: 1890 - 1240,LOSE: 2440 - 3060,LOSE: 2330 - 2790,LOSE: 340 - 780,LOSE: 640 - 1390,WIN: 1390 - 1300,LOSE: 1330 - 1460,LOSE: 1770 - 2340,LOSE: 1450 - 2170,WIN: 1210 - 410,LOSE: 150 - 760,LOSE: 1110 - 1630,WIN: 2780 - 1330,WIN: 3320 - 2200,WIN: 1330 - 1180
solve4.py-first,LOSE: 440 - 940,WIN: 720 - 340,LOSE: 1560 - 1950,WIN: 1350 - 850,LOSE: 1760 - 4610,LOSE: 1070 - 9080,LOSE: 500 - 980,LOSE: 1230 - 1830,LOSE: 1480 - 2490,WIN: 1210 - 1170,LOSE: 1900 - 4300,LOSE: 2070 - 3790,LOSE: 370 - 500,LOSE: 280 - 2660,LOSE: 1030 - 2430,LOSE: 1260 - 2660,LOSE: 1090 - 3310,LOSE: 2230 - 5690
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,WIN: 840 - 40,WIN: 840 - 40,WIN: 840 - 40,WIN: 2200 - 550,WIN: 2210 - 1910,LOSE: 1690 - 2490,LOSE: 180 - 230,LOSE: 200 - 270,WIN: 670 - 490,LOSE: 600 - 1070,WIN: 2110 - 1110,WIN: 2150 - 1080,WIN: 320 - 60,WIN: 80 - 30,LOSE: 890 - 2180,WIN: 1320 - 1150,LOSE: 1060 - 2670,WIN: 2110 - 890
solve5.py-second,,,,,,,,,,,,,,,,,,
