,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 490 - 760,LOSE: 520 - 840,LOSE: 410 - 860,LOSE: 390 - 980,LOSE: 660 - 870,LOSE: 680 - 1450,WIN: 360 - 330,WIN: 490 - 370,LOSE: 510 - 750,LOSE: 560 - 590,WIN: 810 - 710,LOSE: 880 - 1190,LOSE: 300 - 370,WIN: 320 - 150,WIN: 540 - 470,LOSE: 850 - 1200,LOSE: 680 - 1980,WIN: 660 - 500
solve1.py-second,WIN: 850 - 570,LOSE: 270 - 580,LOSE: 850 - 1040,LOSE: 670 - 1040,WIN: 1240 - 770,WIN: 1100 - 810,LOSE: 250 - 350,WIN: 520 - 390,WIN: 600 - 510,LOSE: 530 - 630,LOSE: 790 - 930,WIN: 750 - 640,LOSE: 290 - 350,WIN: 290 - 80,WIN: 650 - 520,WIN: 820 - 650,WIN: 750 - 730,WIN: 720 - 310
solve2.py-first,WIN: 630 - 0,WIN: 500 - 0,WIN: 420 - 0,WIN: 640 - 0,WIN: 630 - 0,WIN: 640 - 0,WIN: 270 - 0,WIN: 810 - 0,WIN: 550 - 0,WIN: 720 - 0,WIN: 1210 - 0,WIN: 720 - 0,WIN: 340 - 0,WIN: 320 - 0,WIN: 760 - 0,WIN: 1050 - 0,WIN: 690 - 0,WIN: 740 - 0
solve2.py-second,WIN: 820 - 0,WIN: 770 - 0,WIN: 1020 - 0,WIN: 570 - 0,WIN: 970 - 0,WIN: 1490 - 0,WIN: 270 - 0,WIN: 780 - 0,WIN: 730 - 0,WIN: 810 - 0,WIN: 860 - 0,WIN: 990 - 0,WIN: 280 - 0,WIN: 400 - 0,WIN: 770 - 0,WIN: 770 - 0,WIN: 720 - 0,WIN: 890 - 0
solve3.py-first,WIN: 470 - 340,WIN: 560 - 330,LOSE: 400 - 640,WIN: 630 - 230,WIN: 580 - 320,WIN: 700 - 300,WIN: 210 - 150,WIN: 410 - 240,WIN: 330 - 210,WIN: 650 - 240,WIN: 860 - 420,WIN: 880 - 450,WIN: 290 - 250,WIN: 310 - 200,WIN: 760 - 300,WIN: 890 - 810,WIN: 640 - 470,WIN: 780 - 450
solve3.py-second,WIN: 420 - 200,WIN: 820 - 290,WIN: 960 - 310,WIN: 640 - 320,WIN: 1440 - 480,WIN: 890 - 480,WIN: 400 - 150,WIN: 560 - 260,WIN: 560 - 240,WIN: 440 - 230,WIN: 820 - 440,LOSE: 670 - 770,WIN: 270 - 190,WIN: 310 - 250,WIN: 820 - 460,WIN: 810 - 480,WIN: 700 - 490,WIN: 710 - 450
normalRandomWalk.py-first,WIN: 570 - 420,WIN: 720 - 710,LOSE: 470 - 960,LOSE: 530 - 750,WIN: 780 - 760,LOSE: 660 - 1430,LOSE: 260 - 270,LOSE: 350 - 590,WIN: 440 - 360,LOSE: 540 - 590,WIN: 1120 - 950,LOSE: 670 - 850,WIN: 310 - 300,WIN: 330 - 320,LOSE: 640 - 710,LOSE: 910 - 1030,LOSE: 690 - 830,WIN: 970 - 670
normalRandomWalk.py-second,LOSE: 420 - 570,LOSE: 710 - 720,WIN: 960 - 470,WIN: 750 - 530,LOSE: 760 - 780,WIN: 1430 - 660,WIN: 270 - 260,WIN: 590 - 350,LOSE: 360 - 440,WIN: 590 - 540,LOSE: 950 - 1120,WIN: 850 - 670,LOSE: 300 - 310,LOSE: 320 - 330,WIN: 710 - 640,WIN: 1030 - 910,WIN: 830 - 690,LOSE: 670 - 970
solve4.py-first,LOSE: 420 - 890,LOSE: 640 - 690,LOSE: 390 - 1160,LOSE: 550 - 670,LOSE: 660 - 2490,LOSE: 810 - 3080,LOSE: 320 - 540,LOSE: 540 - 960,WIN: 610 - 590,LOSE: 460 - 720,LOSE: 1080 - 1670,LOSE: 700 - 1450,LOSE: 300 - 360,LOSE: 390 - 490,LOSE: 670 - 1110,LOSE: 810 - 1280,LOSE: 820 - 1150,LOSE: 680 - 1240
solve4.py-second,LOSE: 530 - 830,LOSE: 390 - 990,WIN: 920 - 900,LOSE: 550 - 1280,LOSE: 1110 - 1580,LOSE: 1250 - 1800,LOSE: 260 - 610,LOSE: 410 - 600,LOSE: 480 - 830,LOSE: 510 - 810,LOSE: 950 - 1470,LOSE: 750 - 1450,WIN: 350 - 290,LOSE: 320 - 790,LOSE: 660 - 990,LOSE: 770 - 1450,LOSE: 770 - 1220,LOSE: 660 - 1480
solve5.py-first,LOSE: 720 - 990,LOSE: 430 - 650,LOSE: 400 - 520,WIN: 530 - 490,LOSE: 680 - 1070,LOSE: 720 - 1670,LOSE: 250 - 250,LOSE: 340 - 380,WIN: 440 - 320,WIN: 640 - 490,LOSE: 870 - 970,WIN: 840 - 120,WIN: 320 - 60,WIN: 370 - 90,WIN: 660 - 380,WIN: 940 - 750,WIN: 800 - 540,WIN: 750 - 460
solve5.py-second,WIN: 1030 - 560,WIN: 860 - 560,WIN: 920 - 230,WIN: 680 - 590,WIN: 420 - -1,WIN: 900 - 610,WIN: 360 - 340,LOSE: 370 - 410,LOSE: 290 - 610,WIN: 550 - 200,WIN: 1170 - 160,WIN: 420 - -1,WIN: 450 - 180,WIN: 360 - 160,WIN: 810 - 440,WIN: 770 - 480,WIN: 750 - 210,WIN: 120 - -1
