,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 1710 - 800,WIN: 3590 - 1020,LOSE: 620 - 2150,LOSE: 610 - 2140,LOSE: 1100 - 3500,LOSE: 2060 - 2560,LOSE: 110 - 1230,LOSE: 250 - 930,LOSE: 490 - 890,LOSE: 310 - 1240,LOSE: 970 - 3200,LOSE: 1220 - 2750,LOSE: 210 - 1260,WIN: 310 - 150,LOSE: 530 - 2290,LOSE: 520 - 3030,LOSE: 480 - 3290,LOSE: 490 - 1690
solve1.py-second,LOSE: 320 - 1160,LOSE: 320 - 1160,LOSE: 550 - 1090,LOSE: 230 - 1930,LOSE: 310 - 1410,LOSE: 290 - 1990,LOSE: 130 - 460,LOSE: 320 - 430,LOSE: 800 - 1210,LOSE: 260 - 730,LOSE: 750 - 2800,LOSE: 660 - 3110,LOSE: 240 - 370,WIN: 220 - 80,LOSE: 300 - 1050,LOSE: 790 - 1200,WIN: 1750 - 1120,LOSE: 450 - 4640
solve2.py-first,WIN: 320 - 0,WIN: 360 - 0,WIN: 530 - 0,WIN: 560 - 0,WIN: 1170 - 0,WIN: 1000 - 0,WIN: 150 - 0,WIN: 330 - 0,WIN: 310 - 0,WIN: 390 - 0,WIN: 2250 - 0,WIN: 1240 - 0,WIN: 210 - 0,WIN: 310 - 0,WIN: 610 - 0,WIN: 500 - 0,WIN: 520 - 0,WIN: 490 - 0
solve2.py-second,WIN: 350 - 0,WIN: 350 - 0,WIN: 640 - 0,WIN: 230 - 0,WIN: 320 - 0,WIN: 300 - 0,WIN: 150 - 0,WIN: 720 - 0,WIN: 460 - 0,WIN: 610 - 0,WIN: 710 - 0,WIN: 720 - 0,WIN: 240 - 0,WIN: 220 - 0,WIN: 300 - 0,WIN: 840 - 0,WIN: 1750 - 0,WIN: 480 - 0
solve3.py-first,WIN: 420 - 320,LOSE: 470 - 960,WIN: 650 - 640,WIN: 730 - 230,WIN: 1140 - 320,WIN: 2110 - 300,LOSE: 140 - 150,WIN: 490 - 420,WIN: 430 - 330,WIN: 560 - 460,WIN: 750 - 610,WIN: 1070 - 590,LOSE: 210 - 240,WIN: 310 - 220,WIN: 610 - 300,LOSE: 500 - 840,LOSE: 520 - 1750,WIN: 490 - 480
solve3.py-second,LOSE: 320 - 420,WIN: 960 - 470,LOSE: 640 - 650,LOSE: 230 - 730,LOSE: 320 - 1140,LOSE: 300 - 2110,WIN: 150 - 140,LOSE: 420 - 490,LOSE: 330 - 430,LOSE: 460 - 560,LOSE: 610 - 750,LOSE: 590 - 1070,WIN: 240 - 210,LOSE: 220 - 310,LOSE: 300 - 610,WIN: 840 - 500,WIN: 1750 - 520,LOSE: 480 - 490
normalRandomWalk.py-first,LOSE: 310 - 1180,LOSE: 340 - 950,LOSE: 480 - 1870,LOSE: 630 - 2210,LOSE: 1120 - 3130,LOSE: 2020 - 3760,LOSE: 80 - 1240,LOSE: 200 - 1340,LOSE: 200 - 1760,LOSE: 220 - 1430,LOSE: 560 - 2220,LOSE: 770 - 2040,LOSE: 210 - 610,LOSE: 310 - 1540,LOSE: 610 - 1440,LOSE: 500 - 2000,LOSE: 520 - 3100,LOSE: 470 - 1790
normalRandomWalk.py-second,LOSE: 370 - 1000,LOSE: 310 - 1220,LOSE: 640 - 1540,LOSE: 230 - 1580,LOSE: 300 - 3650,LOSE: 280 - 3190,LOSE: 110 - 750,LOSE: 440 - 1060,LOSE: 300 - 1160,LOSE: 300 - 960,LOSE: 510 - 2110,LOSE: 420 - 1620,LOSE: 240 - 680,LOSE: 220 - 1210,LOSE: 300 - 1690,LOSE: 840 - 1860,LOSE: 1750 - 2820,LOSE: 480 - 1480
solve4.py-first,LOSE: 300 - 530,LOSE: 440 - 1020,LOSE: 460 - 3490,LOSE: 730 - 1000,LOSE: 970 - 6460,LOSE: 930 - 8680,LOSE: 150 - 1850,LOSE: 440 - 2010,LOSE: 470 - 2640,LOSE: 260 - 5550,LOSE: 890 - 5630,LOSE: 1120 - 6720,LOSE: 200 - 1770,LOSE: 290 - 2590,LOSE: 670 - 2900,LOSE: 570 - 3940,LOSE: 530 - 3070,LOSE: 430 - 7790
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,LOSE: 100 - 920,LOSE: 320 - 1640,WIN: 550 - 430,LOSE: 370 - 4510,LOSE: 880 - 2070,LOSE: 2020 - 3070,LOSE: 110 - 1230,LOSE: 250 - 930,LOSE: 230 - 900,LOSE: 320 - 1230,LOSE: 1470 - 2870,LOSE: 910 - 2780,LOSE: 210 - 920,WIN: 310 - 30,LOSE: 690 - 2240,LOSE: 460 - 2400,LOSE: 480 - 2970,LOSE: 480 - 2450
solve5.py-second,,,,,,,,,,,,,,,,,,
