,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 1010 - 620,WIN: 740 - 680,LOSE: 620 - 830,WIN: 1120 - 1000,WIN: 1900 - 910,WIN: 2020 - 1080,WIN: 530 - 340,WIN: 710 - 400,LOSE: 610 - 630,WIN: 820 - 630,WIN: 1050 - 810,WIN: 1170 - 810,WIN: 390 - 360,WIN: 800 - 150,WIN: 910 - 450,WIN: 1450 - 920,WIN: 1370 - 990,WIN: 1040 - 740
solve1.py-second,WIN: 830 - 580,LOSE: 550 - 590,WIN: 1160 - 990,WIN: 1440 - 1040,WIN: 2270 - 410,WIN: 2520 - 750,WIN: 400 - 310,WIN: 460 - 390,WIN: 1070 - 260,WIN: 610 - 360,WIN: 1290 - 940,LOSE: 1360 - 1500,WIN: 520 - 350,WIN: 1010 - 80,WIN: 1130 - 520,WIN: 1430 - 540,WIN: 1460 - 730,WIN: 1140 - 1130
solve2.py-first,WIN: 990 - 0,WIN: 1090 - 0,WIN: 1100 - 0,WIN: 1040 - 0,WIN: 2300 - 0,WIN: 1370 - 0,WIN: 480 - 0,WIN: 1310 - 0,WIN: 1300 - 0,WIN: 1210 - 0,WIN: 1460 - 0,WIN: 1560 - 0,WIN: 410 - 0,WIN: 580 - 0,WIN: 1060 - 0,WIN: 1140 - 0,WIN: 1250 - 0,WIN: 1000 - 0
solve2.py-second,WIN: 900 - 0,WIN: 990 - 0,WIN: 1210 - 0,WIN: 900 - 0,WIN: 2250 - 0,WIN: 2730 - 0,WIN: 380 - 0,WIN: 890 - 0,WIN: 1180 - 0,WIN: 1280 - 0,WIN: 1390 - 0,WIN: 1680 - 0,WIN: 450 - 0,WIN: 860 - 0,WIN: 1010 - 0,WIN: 1400 - 0,WIN: 1050 - 0,WIN: 1560 - 0
solve3.py-first,WIN: 990 - 300,WIN: 1070 - 290,WIN: 1130 - 640,WIN: 1060 - 230,WIN: 1020 - 320,WIN: 1830 - 300,WIN: 430 - 120,WIN: 720 - 360,WIN: 1020 - 250,WIN: 1130 - 260,WIN: 1330 - 450,WIN: 1530 - 470,WIN: 510 - 250,WIN: 1030 - 200,WIN: 960 - 300,WIN: 1070 - 810,WIN: 1440 - 470,WIN: 1300 - 450
solve3.py-second,WIN: 630 - 230,WIN: 840 - 290,WIN: 1210 - 320,WIN: 1190 - 320,WIN: 2510 - 480,WIN: 3020 - 480,WIN: 580 - 120,WIN: 880 - 380,WIN: 1060 - 290,WIN: 850 - 280,WIN: 1530 - 580,WIN: 1470 - 790,WIN: 350 - 190,WIN: 920 - 250,WIN: 1100 - 460,WIN: 1390 - 480,WIN: 1350 - 490,WIN: 1320 - 450
normalRandomWalk.py-first,WIN: 830 - 530,WIN: 990 - 390,LOSE: 900 - 920,WIN: 1280 - 550,WIN: 1580 - 1110,WIN: 1800 - 1250,WIN: 610 - 260,WIN: 600 - 410,WIN: 830 - 480,WIN: 810 - 510,WIN: 1470 - 950,WIN: 1450 - 750,LOSE: 290 - 350,WIN: 790 - 320,WIN: 990 - 660,WIN: 1450 - 770,WIN: 1220 - 770,WIN: 1480 - 660
normalRandomWalk.py-second,WIN: 890 - 420,WIN: 690 - 640,WIN: 1160 - 390,WIN: 670 - 550,WIN: 2490 - 660,WIN: 3080 - 810,WIN: 540 - 320,WIN: 960 - 540,LOSE: 590 - 610,WIN: 720 - 460,WIN: 1670 - 1080,WIN: 1450 - 700,WIN: 360 - 300,WIN: 490 - 390,WIN: 1110 - 670,WIN: 1280 - 810,WIN: 1150 - 820,WIN: 1240 - 680
solve4.py-first,LOSE: 1000 - 1110,LOSE: 1030 - 1070,LOSE: 1040 - 1320,LOSE: 1060 - 1310,LOSE: 1330 - 2850,LOSE: 2160 - 2720,WIN: 470 - 450,WIN: 690 - 680,WIN: 750 - 710,LOSE: 960 - 980,WIN: 1430 - 1220,LOSE: 1260 - 1300,WIN: 570 - 480,WIN: 520 - 490,WIN: 940 - 910,LOSE: 1290 - 1390,LOSE: 1130 - 1350,LOSE: 1200 - 1220
solve4.py-second,WIN: 1110 - 1000,WIN: 1070 - 1030,WIN: 1320 - 1040,WIN: 1310 - 1060,WIN: 2850 - 1330,WIN: 2720 - 2160,LOSE: 450 - 470,LOSE: 680 - 690,LOSE: 710 - 750,WIN: 980 - 960,LOSE: 1220 - 1430,WIN: 1300 - 1260,LOSE: 480 - 570,LOSE: 490 - 520,LOSE: 910 - 940,WIN: 1390 - 1290,WIN: 1350 - 1130,WIN: 1220 - 1200
solve5.py-first,WIN: 950 - 900,WIN: 1100 - 630,WIN: 1150 - 660,WIN: 1190 - 450,WIN: 2030 - 610,WIN: 1860 - 1450,WIN: 430 - 340,WIN: 580 - 550,WIN: 620 - 590,WIN: 820 - 590,WIN: 1360 - 270,WIN: 460 - -1,WIN: 520 - 170,WIN: 1000 - 90,WIN: 1040 - 550,WIN: 1310 - 540,WIN: 480 - -1,WIN: 430 - -1
solve5.py-second,LOSE: 570 - 580,WIN: 890 - 560,WIN: 1180 - 600,WIN: 1590 - 600,WIN: 420 - -1,WIN: 2740 - 590,WIN: 540 - 340,WIN: 570 - 470,WIN: 690 - 500,WIN: 1030 - 330,WIN: 1280 - 750,WIN: 420 - -1,WIN: 520 - 170,WIN: 1000 - 80,WIN: 1060 - 440,WIN: 1330 - 500,WIN: 480 - -1,WIN: 990 - 380
