,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 40 - 840,LOSE: 40 - 840,LOSE: 40 - 840,LOSE: 550 - 2200,LOSE: 1910 - 2210,WIN: 2490 - 1690,WIN: 230 - 180,WIN: 270 - 200,LOSE: 490 - 670,WIN: 1070 - 600,LOSE: 1110 - 2110,LOSE: 1080 - 2150,LOSE: 60 - 320,LOSE: 30 - 80,WIN: 2180 - 890,LOSE: 1150 - 1320,WIN: 2670 - 1060,LOSE: 890 - 2110
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,WIN: 1580 - 0,WIN: 1620 - 0,WIN: 3340 - 0,WIN: 4820 - 0,WIN: 4220 - 0,WIN: 3070 - 0,WIN: 1230 - 0,WIN: 1910 - 0,WIN: 2910 - 0,WIN: 3990 - 0,WIN: 2820 - 0,WIN: 4000 - 0,WIN: 1030 - 0,WIN: 30 - 0,WIN: 2370 - 0,WIN: 1880 - 0,WIN: 3460 - 0,WIN: 2460 - 0
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,WIN: 920 - 100,WIN: 1640 - 320,LOSE: 430 - 550,WIN: 4510 - 370,WIN: 2070 - 880,WIN: 3070 - 2020,WIN: 1230 - 110,WIN: 930 - 250,WIN: 900 - 230,WIN: 1230 - 320,WIN: 2870 - 1470,WIN: 2780 - 910,WIN: 920 - 210,LOSE: 30 - 310,WIN: 2240 - 690,WIN: 2400 - 460,WIN: 2970 - 480,WIN: 2450 - 480
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
