,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 0 - 1130,LOSE: 0 - 1130,LOSE: 0 - 1210,LOSE: 0 - 1000,LOSE: 0 - 910,LOSE: 0 - 1450,LOSE: 0 - 380,LOSE: 0 - 760,LOSE: 0 - 800,LOSE: 0 - 830,LOSE: 0 - 1120,LOSE: 0 - 850,LOSE: 0 - 360,LOSE: 0 - 150,LOSE: 0 - 460,LOSE: 0 - 1060,LOSE: 0 - 1210,LOSE: 0 - 850
solve1.py-second,LOSE: 0 - 1010,LOSE: 0 - 760,LOSE: 0 - 1080,LOSE: 0 - 1040,LOSE: 0 - 770,LOSE: 0 - 780,LOSE: 0 - 470,LOSE: 0 - 660,LOSE: 0 - 400,LOSE: 0 - 590,LOSE: 0 - 1050,LOSE: 0 - 1290,LOSE: 0 - 350,LOSE: 0 - 80,LOSE: 0 - 750,LOSE: 0 - 540,LOSE: 0 - 730,LOSE: 0 - 1120
solve2.py-first,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0
solve2.py-second,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0
solve3.py-first,LOSE: 0 - 340,LOSE: 0 - 340,LOSE: 0 - 640,LOSE: 0 - 230,LOSE: 0 - 320,LOSE: 0 - 300,LOSE: 0 - 150,LOSE: 0 - 500,LOSE: 0 - 280,LOSE: 0 - 420,LOSE: 0 - 470,LOSE: 0 - 480,LOSE: 0 - 250,LOSE: 0 - 200,LOSE: 0 - 300,LOSE: 0 - 810,LOSE: 0 - 470,LOSE: 0 - 450
solve3.py-second,LOSE: 0 - 300,LOSE: 0 - 300,LOSE: 0 - 320,LOSE: 0 - 320,LOSE: 0 - 480,LOSE: 0 - 480,LOSE: 0 - 150,LOSE: 0 - 300,LOSE: 0 - 260,LOSE: 0 - 330,LOSE: 0 - 510,LOSE: 0 - 800,LOSE: 0 - 190,LOSE: 0 - 250,LOSE: 0 - 460,LOSE: 0 - 480,LOSE: 0 - 490,LOSE: 0 - 450
normalRandomWalk.py-first,LOSE: 0 - 820,LOSE: 0 - 770,LOSE: 0 - 1020,LOSE: 0 - 570,LOSE: 0 - 970,LOSE: 0 - 1490,LOSE: 0 - 270,LOSE: 0 - 780,LOSE: 0 - 730,LOSE: 0 - 810,LOSE: 0 - 860,LOSE: 0 - 990,LOSE: 0 - 280,LOSE: 0 - 400,LOSE: 0 - 770,LOSE: 0 - 770,LOSE: 0 - 720,LOSE: 0 - 890
normalRandomWalk.py-second,LOSE: 0 - 630,LOSE: 0 - 500,LOSE: 0 - 420,LOSE: 0 - 640,LOSE: 0 - 630,LOSE: 0 - 640,LOSE: 0 - 270,LOSE: 0 - 810,LOSE: 0 - 550,LOSE: 0 - 720,LOSE: 0 - 1210,LOSE: 0 - 720,LOSE: 0 - 340,LOSE: 0 - 320,LOSE: 0 - 760,LOSE: 0 - 1050,LOSE: 0 - 690,LOSE: 0 - 740
solve4.py-first,LOSE: 0 - 900,LOSE: 0 - 990,LOSE: 0 - 1210,LOSE: 0 - 900,LOSE: 0 - 2250,LOSE: 0 - 2730,LOSE: 0 - 380,LOSE: 0 - 890,LOSE: 0 - 1180,LOSE: 0 - 1280,LOSE: 0 - 1390,LOSE: 0 - 1680,LOSE: 0 - 450,LOSE: 0 - 860,LOSE: 0 - 1010,LOSE: 0 - 1400,LOSE: 0 - 1050,LOSE: 0 - 1560
solve4.py-second,LOSE: 0 - 990,LOSE: 0 - 1090,LOSE: 0 - 1100,LOSE: 0 - 1040,LOSE: 0 - 2300,LOSE: 0 - 1370,LOSE: 0 - 480,LOSE: 0 - 1310,LOSE: 0 - 1300,LOSE: 0 - 1210,LOSE: 0 - 1460,LOSE: 0 - 1560,LOSE: 0 - 410,LOSE: 0 - 580,LOSE: 0 - 1060,LOSE: 0 - 1140,LOSE: 0 - 1250,LOSE: 0 - 1000
solve5.py-first,LOSE: 0 - 1410,LOSE: 0 - 640,LOSE: 0 - 620,LOSE: 0 - 760,LOSE: 0 - 1610,LOSE: 0 - 1670,LOSE: 0 - 390,LOSE: 0 - 920,LOSE: 0 - 1070,LOSE: 0 - 1140,LOSE: 0 - 990,LOSE: 0 - 590,LOSE: 0 - 60,LOSE: 0 - 100,LOSE: 0 - 580,LOSE: 0 - 610,LOSE: 0 - 540,LOSE: 0 - 210
solve5.py-second,LOSE: 0 - 600,LOSE: 0 - 560,LOSE: 0 - 490,LOSE: 0 - 350,WIN: 0 - -1,LOSE: 0 - 780,LOSE: 0 - 460,LOSE: 0 - 660,LOSE: 0 - 380,LOSE: 0 - 440,LOSE: 0 - 190,WIN: 0 - -1,LOSE: 0 - 180,LOSE: 0 - 80,LOSE: 0 - 210,LOSE: 0 - 110,LOSE: 0 - 150,LOSE: 0 - 110
