,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,WIN: 1200 - 880,WIN: 1580 - 870,WIN: 4020 - 1050,LOSE: 1120 - 1530,WIN: 3880 - 1740,WIN: 8550 - 990,WIN: 1070 - 760,WIN: 1700 - 1120,WIN: 3810 - 230,WIN: 2260 - 1940,WIN: 8610 - 910,WIN: 5640 - 2600,WIN: 520 - 370,WIN: 2330 - 60,WIN: 2810 - 700,WIN: 5890 - 550,WIN: 6370 - 1180,WIN: 9050 - 1960
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
