,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 450 - 1090,WIN: 3550 - 900,LOSE: 560 - 2150,LOSE: 580 - 2030,LOSE: 1140 - 2720,LOSE: 2120 - 2550,LOSE: 100 - 1060,LOSE: 280 - 900,LOSE: 240 - 890,LOSE: 240 - 1220,LOSE: 1270 - 2370,LOSE: 1060 - 2000,LOSE: 210 - 1260,WIN: 350 - 150,LOSE: 700 - 1730,LOSE: 560 - 2880,LOSE: 480 - 3290,LOSE: 410 - 2530
solve1.py-second,LOSE: 310 - 1010,LOSE: 310 - 1010,WIN: 630 - -1,LOSE: 230 - 1930,LOSE: 300 - 1100,WIN: 300 - -1,WIN: 160 - -1,LOSE: 330 - 540,LOSE: 450 - 530,WIN: 190 - -1,LOSE: 780 - 1970,LOSE: 630 - 1910,LOSE: 240 - 370,WIN: 220 - -1,LOSE: 410 - 1050,LOSE: 840 - 1030,WIN: 1770 - 1120,WIN: 410 - -1
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,WIN: 420 - 320,LOSE: 460 - 500,WIN: 650 - 640,WIN: 690 - 230,WIN: 1140 - 370,WIN: 2100 - 330,LOSE: 140 - 150,WIN: 350 - 340,LOSE: 210 - 340,LOSE: 340 - 600,WIN: 800 - 610,WIN: 830 - 580,LOSE: 210 - 240,WIN: 270 - 210,WIN: 550 - 410,LOSE: 590 - 920,LOSE: 480 - 1710,
solve3.py-second,LOSE: 320 - 420,WIN: 500 - 460,LOSE: 640 - 650,LOSE: 230 - 690,LOSE: 370 - 1140,LOSE: 330 - 2100,WIN: 150 - 140,LOSE: 340 - 350,WIN: 340 - 210,WIN: 600 - 340,LOSE: 610 - 800,LOSE: 580 - 830,WIN: 240 - 210,LOSE: 210 - 270,LOSE: 410 - 550,WIN: 920 - 590,WIN: 1710 - 480,
normalRandomWalk.py-first,,LOSE: 330 - 1200,LOSE: 570 - 1690,,LOSE: 1170 - 3060,LOSE: 870 - 1960,LOSE: 170 - 610,LOSE: 200 - 1110,LOSE: 410 - 1370,LOSE: 270 - 1580,LOSE: 730 - 1980,LOSE: 800 - 1390,LOSE: 210 - 510,LOSE: 290 - 870,LOSE: 610 - 1640,LOSE: 500 - 1630,LOSE: 520 - 1650,LOSE: 490 - 1260
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,LOSE: 370 - 1150,LOSE: 430 - 600,LOSE: 510 - 3170,LOSE: 730 - 1210,LOSE: 1040 - 5220,LOSE: 1870 - 5580,LOSE: 90 - 1090,LOSE: 280 - 2580,LOSE: 480 - 2600,LOSE: 540 - 2660,LOSE: 2090 - 3720,LOSE: 930 - 3570,,LOSE: 290 - 2370,LOSE: 480 - 2010,LOSE: 350 - 2540,LOSE: 490 - 4520,LOSE: 430 - 5620
solve4.py-second,,LOSE: 290 - 1800,,,LOSE: 560 - 3420,LOSE: 270 - 4410,LOSE: 100 - 1290,LOSE: 570 - 1850,,LOSE: 440 - 2910,LOSE: 680 - 3500,LOSE: 730 - 3580,LOSE: 230 - 1310,LOSE: 230 - 2120,,LOSE: 820 - 2860,LOSE: 1480 - 5130,LOSE: 500 - 4650
solve5.py-first,LOSE: 40 - 1300,LOSE: 470 - 820,WIN: 590 - 380,LOSE: 720 - 1480,,LOSE: 2040 - 2580,LOSE: 150 - 770,LOSE: 390 - 920,LOSE: 260 - 990,LOSE: 250 - 1110,WIN: 1490 - 1470,WIN: 1200 - 1030,,WIN: 270 - 30,LOSE: 600 - 1180,LOSE: 590 - 1310,LOSE: 480 - 1890,LOSE: 480 - 1530
solve5.py-second,WIN: 990 - -1,WIN: 970 - -1,WIN: 660 - -1,WIN: 360 - -1,WIN: 370 - -1,LOSE: 280 - 1600,LOSE: 160 - 460,LOSE: 410 - 540,WIN: 390 - -1,WIN: 790 - -1,WIN: 990 - -1,WIN: 610 - -1,WIN: 250 - -1,WIN: 220 - 30,WIN: 410 - -1,WIN: 920 - -1,WIN: 1610 - -1,WIN: 480 - -1
