,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 390-810,LOSE: 520-720,LOSE: 760-790,WIN: 1260-1050,LOSE: 900-1900,LOSE: 1670-2510,WIN: 0-0,WIN: 0-0,WIN: 20-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0
solve1.py-second,WIN: 810-390,WIN: 720-520,WIN: 790-760,LOSE: 1050-1260,WIN: 1900-900,WIN: 2510-1670,LOSE: 0-0,LOSE: 0-0,LOSE: 0-20,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0
solve2.py-first,WIN: 0-0,WIN: 0-0,WIN: 1670-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 1740-0,WIN: 2650-0,WIN: 4130-0,WIN: 2960-0,WIN: 4370-0,WIN: 370-0,WIN: 80-0,WIN: 1050-0,WIN: 1380-0,WIN: 1120-0,WIN: 2500-0
solve2.py-second,WIN: 1300-0,WIN: 1300-0,WIN: 2220-0,WIN: 3220-0,WIN: 3560-0,WIN: 3060-0,WIN: 380-0,WIN: 1910-0,WIN: 2910-0,WIN: 3990-0,WIN: 4030-0,WIN: 4610-0,WIN: 1260-0,WIN: 150-0,WIN: 2290-0,WIN: 3340-0,WIN: 3230-0,WIN: 1260-0
solve3.py-first,WIN: 1260-340,WIN: 1260-340,WIN: 1100-560,WIN: 1930-230,WIN: 1460-280,WIN: 2170-270,WIN: 1070-110,WIN: 950-370,WIN: 1850-1030,WIN: 2560-390,WIN: 3430-730,WIN: 5050-620,WIN: 370-240,LOSE: 80-220,WIN: 1050-300,WIN: 1250-820,LOSE: 1120-1750,WIN: 4100-450
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,LOSE: 460-1000,WIN: 850-540,WIN: 1410-1210,WIN: 1550-620,LOSE: 780-2350,LOSE: 2090-3970,WIN: 730-360,LOSE: 690-1160,LOSE: 1010-1280,WIN: 1360-1040,WIN: 1970-1680,WIN: 3280-1770,LOSE: 340-730,LOSE: 80-940,LOSE: 1050-1730,LOSE: 1640-1840,LOSE: 1120-3480,WIN: 2320-1270
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
