,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 0 - 1300,LOSE: 0 - 1300,LOSE: 0 - 2220,LOSE: 0 - 1960,LOSE: 0 - 2520,LOSE: 0 - 2920,LOSE: 0 - 380,LOSE: 0 - 1910,LOSE: 0 - 2120,LOSE: 0 - 2880,LOSE: 0 - 2910,LOSE: 0 - 2800,LOSE: 0 - 1260,LOSE: 0 - 150,LOSE: 0 - 1570,LOSE: 0 - 2660,LOSE: 0 - 3610,LOSE: 0 - 2260
solve1.py-second,LOSE: 0 - 1160,LOSE: 0 - 1160,LOSE: 0 - 1670,LOSE: 0 - 2150,LOSE: 0 - 2830,LOSE: 0 - 1920,LOSE: 0 - 1070,LOSE: 0 - 1740,LOSE: 0 - 1380,LOSE: 0 - 3060,LOSE: 0 - 2300,LOSE: 0 - 2910,LOSE: 0 - 370,LOSE: 0 - 80,LOSE: 0 - 1050,LOSE: 0 - 1050,LOSE: 0 - 1120,LOSE: 0 - 2170
solve2.py-first,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0,WIN: 0 - 0
solve2.py-second,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0,LOSE: 0 - 0
solve3.py-first,LOSE: 0 - 350,LOSE: 0 - 350,LOSE: 0 - 640,LOSE: 0 - 230,LOSE: 0 - 320,LOSE: 0 - 300,LOSE: 0 - 150,LOSE: 0 - 720,LOSE: 0 - 460,LOSE: 0 - 610,LOSE: 0 - 710,LOSE: 0 - 720,LOSE: 0 - 240,LOSE: 0 - 220,LOSE: 0 - 300,LOSE: 0 - 840,LOSE: 0 - 1750,LOSE: 0 - 480
solve3.py-second,LOSE: 0 - 320,LOSE: 0 - 360,LOSE: 0 - 530,LOSE: 0 - 560,LOSE: 0 - 1170,LOSE: 0 - 990,LOSE: 0 - 150,LOSE: 0 - 330,LOSE: 0 - 310,LOSE: 0 - 390,LOSE: 0 - 2250,LOSE: 0 - 1240,LOSE: 0 - 210,LOSE: 0 - 310,LOSE: 0 - 610,LOSE: 0 - 500,LOSE: 0 - 520,LOSE: 0 - 490
normalRandomWalk.py-first,LOSE: 0 - 1160,LOSE: 0 - 1520,LOSE: 0 - 1730,LOSE: 0 - 1850,LOSE: 0 - 2470,LOSE: 0 - 2780,LOSE: 0 - 770,LOSE: 0 - 1600,LOSE: 0 - 1890,LOSE: 0 - 1720,LOSE: 0 - 2190,LOSE: 0 - 2460,LOSE: 0 - 790,LOSE: 0 - 890,LOSE: 0 - 1190,LOSE: 0 - 1870,LOSE: 0 - 2020,LOSE: 0 - 1860
normalRandomWalk.py-second,LOSE: 0 - 1970,LOSE: 0 - 1140,LOSE: 0 - 1260,LOSE: 0 - 1300,LOSE: 0 - 1920,LOSE: 0 - 2060,LOSE: 0 - 680,LOSE: 0 - 1390,LOSE: 0 - 1850,LOSE: 0 - 1990,LOSE: 0 - 2490,LOSE: 0 - 2070,LOSE: 0 - 410,LOSE: 0 - 1110,LOSE: 0 - 1340,LOSE: 0 - 1400,LOSE: 0 - 3100,LOSE: 0 - 1190
solve4.py-first,LOSE: 0 - 1470,LOSE: 0 - 2400,LOSE: 0 - 2710,LOSE: 0 - 1320,LOSE: 0 - 5340,LOSE: 0 - 6510,LOSE: 0 - 1610,LOSE: 0 - 2430,LOSE: 0 - 3130,LOSE: 0 - 3980,LOSE: 0 - 5230,LOSE: 0 - 6060,LOSE: 0 - 1590,LOSE: 0 - 1680,LOSE: 0 - 2390,LOSE: 0 - 3890,LOSE: 0 - 4800,LOSE: 0 - 5180
solve4.py-second,LOSE: 0 - 2090,LOSE: 0 - 2290,LOSE: 0 - 2940,LOSE: 0 - 3630,LOSE: 0 - 3220,LOSE: 0 - 4010,LOSE: 0 - 1430,LOSE: 0 - 2670,LOSE: 0 - 3270,LOSE: 0 - 2070,LOSE: 0 - 4690,LOSE: 0 - 5900,LOSE: 0 - 1280,LOSE: 0 - 630,LOSE: 0 - 2430,LOSE: 0 - 2590,LOSE: 0 - 4970,LOSE: 0 - 5800
