,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 0 - 1160,LOSE: 0 - 1160,LOSE: 0 - 1670,LOSE: 0 - 2150,LOSE: 0 - 3420,LOSE: 0 - 2940,LOSE: 0 - 1070,LOSE: 0 - 1740,LOSE: 0 - 2650,LOSE: 0 - 4130,LOSE: 0 - 2960,LOSE: 0 - 4350,LOSE: 0 - 370,LOSE: 0 - 80,LOSE: 0 - 1050,LOSE: 0 - 1380,LOSE: 0 - 1120,LOSE: 0 - 2500
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
