,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 340-1260,LOSE: 340-1260,LOSE: 560-1100,LOSE: 230-1930,LOSE: 280-1460,LOSE: 290-2040,LOSE: 110-1070,LOSE: 340-820,LOSE: 1050-1800,LOSE: 300-1760,LOSE: 720-2950,LOSE: 720-3510,LOSE: 240-370,WIN: 220-80,LOSE: 300-1050,LOSE: 820-1210,WIN: 1750-1120,LOSE: 450-3330
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,WIN: 1140-0,,,WIN: 150-0,WIN: 380-0,WIN: 300-0,,WIN: 300-0,WIN: 300-0,WIN: 300-0,WIN: 420-0,WIN: 420-0,WIN: 250-0,WIN: 240-0,WIN: 530-0,WIN: 720-0,WIN: 300-0,WIN: 480-0
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
