,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,WIN: 1100 - 830,LOSE: 250 - 740,LOSE: 1020 - 1290,WIN: 1920 - 1720,WIN: 2890 - 1390,WIN: 5150 - 1360,WIN: 1090 - 280,WIN: 1290 - 490,WIN: 1080 - 1020,LOSE: 1540 - 2070,WIN: 4010 - 1460,WIN: 2510 - 2200,WIN: 720 - 330,WIN: 1230 - 80,WIN: 1900 - 1050,WIN: 1860 - 1190,WIN: 3070 - 1120,LOSE: 1910 - 2110
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
