,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 330 - 1010,LOSE: 330 - 1010,LOSE: 550 - 1110,LOSE: 230 - 1930,LOSE: 310 - 1410,LOSE: 290 - 1990,LOSE: 130 - 460,LOSE: 340 - 540,WIN: 680 - 670,LOSE: 910 - 2340,LOSE: 740 - 2780,LOSE: 670 - 1810,LOSE: 240 - 370,WIN: 220 - 80,LOSE: 300 - 1050,LOSE: 800 - 1190,WIN: 1750 - 1120,LOSE: 450 - 3580
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
