,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 0-1300,LOSE: 0-1300,LOSE: 0-2220,LOSE: 0-3220,LOSE: 0-3560,LOSE: 0-3060,LOSE: 0-380,LOSE: 0-1910,LOSE: 0-2910,LOSE: 0-3990,LOSE: 0-4030,LOSE: 0-4610,LOSE: 0-1260,LOSE: 0-150,LOSE: 0-2290,LOSE: 0-3340,LOSE: 0-3230,LOSE: 0-1260
solve1.py-second,LOSE: 0-0,LOSE: 0-0,LOSE: 0-1670,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-1740,LOSE: 0-2650,LOSE: 0-4130,LOSE: 0-2960,LOSE: 0-4370,LOSE: 0-370,LOSE: 0-80,LOSE: 0-1050,LOSE: 0-1380,LOSE: 0-1120,LOSE: 0-2500
solve2.py-first,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0
solve2.py-second,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0
solve3.py-first,LOSE: 0-970,LOSE: 0-230,LOSE: 0-780,LOSE: 0-180,LOSE: 0-330,LOSE: 0-300,LOSE: 0-300,,LOSE: 0-300,,WIN: 0-0,LOSE: 0-780,LOSE: 0-230,LOSE: 0-230,LOSE: 0-360,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,LOSE: 0-1310,LOSE: 0-1620,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
