,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: -1 - 40,,,,,,,,,,,,,,,,,
solve1.py-second,WIN: 40 - -1,,,,,,,,,,,,,,,,,
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,LOSE: 960 - 1900,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,WIN: 7160 - 2280
solve5.py-second,,,,,,,,,,,,,,,,,,
solve6.py-first,,,,,,,,,,,,,,,,,,
solve6.py-second,,,,,,,,,,,,,,,,,,
solve7.py-first,,,,,,,,,,,,,,,,,,
solve7.py-second,,,,,,LOSE: 3170 - 4540,,,,,,,,,,,,
