,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,,,,,,,,,,,,,,,,,,
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,LOSE: 390 - 1100,LOSE: 580 - 590,WIN: 1040 - 680,WIN: 1060 - 550,LOSE: 730 - 1340,LOSE: 1200 - 1620,LOSE: 190 - 230,WIN: 180 - 110,LOSE: 210 - 360,LOSE: 480 - 780,WIN: 940 - 730,WIN: 820 - 490,WIN: 360 - 170,LOSE: 80 - 140,WIN: 980 - 580,LOSE: 650 - 900,WIN: 780 - 550,WIN: 1140 - 570
solve5.py-second,,,,,,,,,,,,,,,,,,
