,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 1090 - 770,WIN: 1130 - 970,LOSE: 1190 - 1480,WIN: 1650 - 1510,WIN: 3430 - 1970,WIN: 4790 - 2560,LOSE: 690 - 850,WIN: 1580 - 870,WIN: 1800 - 1150,WIN: 1790 - 1150,WIN: 2730 - 1940,WIN: 2590 - 1800,LOSE: 660 - 900,WIN: 1890 - 140,LOSE: 1390 - 1550,WIN: 2310 - 1830,WIN: 3900 - 2620,WIN: 2410 - 590
solve1.py-second,WIN: 1500 - -1,LOSE: 440 - 1010,WIN: 2060 - 1160,WIN: 1650 - 1640,WIN: 4120 - 1140,WIN: 5660 - 1560,WIN: 980 - 630,WIN: 1550 - 750,WIN: 1430 - -1,WIN: 1990 - 920,WIN: 6790 - 630,WIN: 3410 - 1780,WIN: 510 - 370,WIN: 1190 - -1,WIN: 2370 - 1050,WIN: 3480 - 870,WIN: 4580 - 1080,WIN: 4630 - 1440
solve2.py-first,WIN: 2090 - 0,WIN: 2290 - 0,WIN: 2940 - 0,WIN: 3630 - 0,WIN: 3220 - 0,WIN: 4010 - 0,WIN: 1430 - 0,WIN: 2670 - 0,WIN: 3270 - 0,WIN: 2070 - 0,WIN: 4690 - 0,WIN: 5900 - 0,WIN: 1280 - 0,WIN: 630 - 0,WIN: 2430 - 0,WIN: 2590 - 0,WIN: 4970 - 0,WIN: 5800 - 0
solve2.py-second,WIN: 1470 - 0,WIN: 2400 - 0,WIN: 2710 - 0,WIN: 1320 - 0,WIN: 5340 - 0,WIN: 6510 - 0,WIN: 1610 - 0,WIN: 2430 - 0,WIN: 3130 - 0,WIN: 3980 - 0,WIN: 5230 - 0,WIN: 6060 - 0,WIN: 1590 - 0,WIN: 1680 - 0,WIN: 2390 - 0,WIN: 3890 - 0,WIN: 4800 - 0,WIN: 5180 - 0
solve3.py-first,WIN: 1890 - 300,WIN: 1800 - 290,WIN: 2570 - 620,WIN: 2550 - 230,WIN: 3420 - 560,WIN: 4410 - 270,WIN: 1290 - 100,WIN: 1850 - 570,WIN: 1780 - 640,WIN: 2910 - 440,WIN: 3500 - 680,WIN: 3580 - 730,WIN: 1310 - 230,WIN: 2120 - 230,WIN: 1970 - 300,WIN: 2860 - 820,WIN: 5130 - 1480,WIN: 4650 - 500
solve3.py-second,WIN: 1150 - 370,WIN: 600 - 430,WIN: 3170 - 510,WIN: 1210 - 730,WIN: 5220 - 1040,WIN: 5580 - 1870,WIN: 1090 - 90,WIN: 2580 - 280,WIN: 2600 - 480,WIN: 2660 - 540,WIN: 3720 - 2090,WIN: 3570 - 930,WIN: 2200 - 190,WIN: 2370 - 290,WIN: 2010 - 480,WIN: 2540 - 350,WIN: 4520 - 490,WIN: 5620 - 430
normalRandomWalk.py-first,LOSE: 940 - 1030,WIN: 1410 - 1040,WIN: 2000 - 1530,WIN: 2120 - 1790,WIN: 3550 - 1820,WIN: 4170 - 2250,WIN: 1170 - 640,WIN: 1210 - 790,WIN: 2090 - 1300,WIN: 2680 - 1230,WIN: 2600 - 1360,WIN: 4250 - 1690,WIN: 1300 - 510,WIN: 1600 - 480,WIN: 1830 - 1600,WIN: 2830 - 1850,WIN: 4830 - 2250,WIN: 4930 - 1790
normalRandomWalk.py-second,LOSE: 840 - 1090,LOSE: 530 - 1310,WIN: 1980 - 1540,LOSE: 1250 - 1300,WIN: 5380 - 1230,WIN: 4290 - 2020,WIN: 1140 - 360,WIN: 940 - 900,WIN: 1670 - 1220,WIN: 1680 - 1360,WIN: 3280 - 1870,WIN: 3800 - 1630,LOSE: 500 - 600,WIN: 1370 - 920,WIN: 2240 - 920,WIN: 2850 - 1350,WIN: 2970 - 2020,WIN: 2980 - 1350
solve4.py-first,WIN: 1100 - 660,WIN: 1540 - 1040,WIN: 1900 - 1770,WIN: 2530 - 1100,LOSE: 3340 - 4440,LOSE: 4590 - 6260,LOSE: 700 - 900,LOSE: 1380 - 1450,LOSE: 1470 - 1680,LOSE: 2090 - 2270,WIN: 3820 - 2810,LOSE: 2600 - 3950,WIN: 1000 - 550,LOSE: 1010 - 2670,LOSE: 1570 - 2440,WIN: 2780 - 2470,WIN: 4220 - 3600,WIN: 4780 - 3360
solve4.py-second,LOSE: 660 - 1100,LOSE: 1040 - 1540,LOSE: 1770 - 1900,LOSE: 1100 - 2530,WIN: 4440 - 3340,WIN: 6260 - 4590,WIN: 900 - 700,WIN: 1450 - 1380,WIN: 1680 - 1470,WIN: 2270 - 2090,LOSE: 2810 - 3820,WIN: 3950 - 2600,LOSE: 550 - 1000,WIN: 2670 - 1010,WIN: 2440 - 1570,LOSE: 2470 - 2780,LOSE: 3600 - 4220,LOSE: 3360 - 4780
