,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 1120 - 800,WIN: 1140 - 740,LOSE: 930 - 1290,LOSE: 1220 - 1520,LOSE: 1810 - 1920,LOSE: 2300 - 2380,WIN: 570 - 440,WIN: 1090 - 1000,WIN: 1080 - 820,WIN: 1520 - 1320,WIN: 1770 - 1490,WIN: 2380 - 1190,LOSE: 380 - 1250,WIN: 1150 - 150,WIN: 1590 - 1140,LOSE: 1390 - 2210,LOSE: 2030 - 3020,WIN: 1300 - 1100
solve1.py-second,WIN: 790 - -1,WIN: 910 - 580,LOSE: 1050 - 1310,LOSE: 930 - 1780,WIN: 1870 - 990,WIN: 3550 - 1280,LOSE: 430 - 700,WIN: 980 - 700,WIN: 1150 - 880,WIN: 1260 - 1020,WIN: 1890 - 1120,WIN: 1770 - 1320,WIN: 560 - 360,WIN: 720 - 80,WIN: 870 - -1,WIN: 1580 - 1010,WIN: 3410 - 1120,WIN: 1690 - 1400
solve2.py-first,WIN: 1970 - 0,WIN: 1140 - 0,WIN: 1260 - 0,WIN: 1300 - 0,WIN: 1920 - 0,WIN: 2060 - 0,WIN: 680 - 0,WIN: 1390 - 0,WIN: 1850 - 0,WIN: 1990 - 0,WIN: 2490 - 0,WIN: 2070 - 0,WIN: 410 - 0,WIN: 1110 - 0,WIN: 1340 - 0,WIN: 1400 - 0,WIN: 3100 - 0,WIN: 1190 - 0
solve2.py-second,WIN: 1160 - 0,WIN: 1520 - 0,WIN: 1730 - 0,WIN: 1850 - 0,WIN: 2470 - 0,WIN: 2780 - 0,WIN: 770 - 0,WIN: 1600 - 0,WIN: 1890 - 0,WIN: 1720 - 0,WIN: 2190 - 0,WIN: 2460 - 0,WIN: 790 - 0,WIN: 890 - 0,WIN: 1190 - 0,WIN: 1870 - 0,WIN: 2020 - 0,WIN: 1860 - 0
solve3.py-first,WIN: 950 - 270,WIN: 950 - 340,WIN: 1730 - 640,WIN: 1170 - 230,WIN: 1670 - 320,WIN: 2510 - 300,WIN: 440 - 90,WIN: 1070 - 280,WIN: 1360 - 240,WIN: 1020 - 610,WIN: 1690 - 580,WIN: 1850 - 600,WIN: 700 - 240,WIN: 950 - 220,WIN: 1370 - 300,WIN: 1900 - 840,WIN: 2600 - 1750,WIN: 1610 - 470
solve3.py-second,WIN: 720 - 230,WIN: 1200 - 330,WIN: 1690 - 570,WIN: 1960 - 690,WIN: 3060 - 1170,WIN: 1960 - 870,WIN: 610 - 170,WIN: 1110 - 200,WIN: 1370 - 410,WIN: 1580 - 270,WIN: 1980 - 730,WIN: 1390 - 800,WIN: 510 - 210,WIN: 870 - 290,WIN: 1640 - 610,WIN: 1630 - 500,WIN: 1650 - 520,WIN: 1260 - 490
normalRandomWalk.py-first,LOSE: 730 - 950,WIN: 1040 - 950,WIN: 1130 - 1120,WIN: 1540 - 1280,LOSE: 1300 - 2700,LOSE: 1920 - 2540,WIN: 550 - 480,WIN: 940 - 670,WIN: 1080 - 590,LOSE: 920 - 1090,LOSE: 1470 - 1480,WIN: 1590 - 1560,WIN: 590 - 390,LOSE: 890 - 980,WIN: 1560 - 1240,WIN: 1730 - 1230,WIN: 2420 - 2130,WIN: 1750 - 1250
normalRandomWalk.py-second,WIN: 950 - 730,LOSE: 950 - 1040,LOSE: 1120 - 1130,LOSE: 1280 - 1540,WIN: 2700 - 1300,WIN: 2540 - 1920,LOSE: 480 - 550,LOSE: 670 - 940,LOSE: 590 - 1080,WIN: 1090 - 920,WIN: 1480 - 1470,LOSE: 1560 - 1590,LOSE: 390 - 590,WIN: 980 - 890,LOSE: 1240 - 1560,LOSE: 1230 - 1730,LOSE: 2130 - 2420,LOSE: 1250 - 1750
solve4.py-first,WIN: 1090 - 840,WIN: 1310 - 530,LOSE: 1540 - 1980,WIN: 1300 - 1250,LOSE: 1230 - 5380,LOSE: 2020 - 4290,LOSE: 360 - 1140,LOSE: 900 - 940,LOSE: 1220 - 1670,LOSE: 1360 - 1680,LOSE: 1870 - 3280,LOSE: 1630 - 3800,WIN: 600 - 500,LOSE: 920 - 1370,LOSE: 920 - 2240,LOSE: 1350 - 2850,LOSE: 2020 - 2970,LOSE: 1350 - 2980
solve4.py-second,WIN: 1030 - 940,LOSE: 1040 - 1410,LOSE: 1530 - 2000,LOSE: 1790 - 2120,LOSE: 1820 - 3550,LOSE: 2250 - 4170,LOSE: 640 - 1170,LOSE: 790 - 1210,LOSE: 1300 - 2090,LOSE: 1230 - 2680,LOSE: 1360 - 2600,LOSE: 1690 - 4250,LOSE: 510 - 1300,LOSE: 480 - 1600,LOSE: 1600 - 1830,LOSE: 1850 - 2830,LOSE: 2250 - 4830,LOSE: 1790 - 4930
