,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 480-680,WIN: 690-620,LOSE: 1150-1190,LOSE: 520-1450,WIN: 2350-850,WIN: 3770-2550,WIN: 800-620,WIN: 810-800,LOSE: 720-1720,LOSE: 1130-1670,WIN: 2020-1600,WIN: 2740-1950,WIN: 740-340,WIN: 1020-80,WIN: 1790-1050,WIN: 1920-1290,WIN: 3960-1120,WIN: 3050-1460
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,WIN: 300-0,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
