,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: -1 - 660,LOSE: -1 - 750,LOSE: -1 - 660,LOSE: -1 - 860,LOSE: -1 - 270,LOSE: -1 - 1680,WIN: 300 - 220,WIN: 1010 - 370,LOSE: 360 - 700,LOSE: -1 - 590,LOSE: -1 - 170,LOSE: -1 - 580,LOSE: -1 - 60,LOSE: -1 - 110,LOSE: -1 - 440,LOSE: -1 - 660,LOSE: -1 - 540,WIN: -1 - -1
solve1.py-second,LOSE: -1 - 620,LOSE: -1 - 560,LOSE: -1 - 560,LOSE: -1 - 1120,LOSE: -1 - 120,WIN: 2430 - 1470,WIN: 440 - 160,WIN: 870 - -1,WIN: 660 - 480,LOSE: -1 - 60,LOSE: -1 - 130,LOSE: -1 - 180,LOSE: -1 - 80,LOSE: -1 - 80,LOSE: -1 - 510,LOSE: -1 - 190,LOSE: -1 - 170,LOSE: -1 - 1370
solve2.py-first,WIN: 1450 - 0,WIN: 1910 - 0,WIN: 440 - 0,WIN: 440 - 0,LOSE: -1 - 0,WIN: 2460 - 0,WIN: 1230 - 0,WIN: 1910 - 0,WIN: 1910 - 0,WIN: 3880 - 0,WIN: 2100 - 0,LOSE: -1 - 0,WIN: 190 - 0,WIN: 30 - 0,WIN: 1250 - 0,WIN: 1420 - 0,LOSE: -1 - 0,WIN: 2650 - 0
solve2.py-second,WIN: 1580 - 0,WIN: 1620 - 0,WIN: 810 - 0,WIN: 1370 - 0,WIN: 3010 - 0,WIN: 2930 - 0,WIN: 1230 - 0,WIN: 1910 - 0,WIN: 2470 - 0,WIN: 2880 - 0,WIN: 1580 - 0,WIN: 1690 - 0,WIN: 230 - 0,WIN: 30 - 0,WIN: 1270 - 0,WIN: 1450 - 0,WIN: 2140 - 0,WIN: 1190 - 0
solve3.py-first,LOSE: -1 - 990,LOSE: -1 - 970,LOSE: -1 - 660,LOSE: -1 - 360,LOSE: -1 - 370,WIN: 1600 - 280,WIN: 460 - 160,WIN: 540 - 410,LOSE: -1 - 390,LOSE: -1 - 790,LOSE: -1 - 990,LOSE: -1 - 610,LOSE: -1 - 250,LOSE: 30 - 220,LOSE: -1 - 410,LOSE: -1 - 920,LOSE: -1 - 1610,LOSE: -1 - 480
solve3.py-second,WIN: 1300 - 40,WIN: 820 - 470,LOSE: 380 - 590,WIN: 1480 - 720,WIN: 2370 - 1130,WIN: 2580 - 2040,WIN: 770 - 150,WIN: 920 - 390,WIN: 990 - 260,WIN: 1110 - 250,LOSE: 1470 - 1490,LOSE: 1030 - 1200,WIN: 210 - 210,LOSE: 30 - 270,WIN: 1180 - 600,WIN: 1310 - 590,WIN: 1890 - 480,WIN: 1530 - 480
normalRandomWalk.py-first,LOSE: -1 - 950,LOSE: -1 - 1120,LOSE: 330 - 1150,LOSE: -1 - 2230,LOSE: -1 - 2590,LOSE: 1410 - 2800,LOSE: 320 - 510,LOSE: 400 - 450,LOSE: 920 - 1090,LOSE: 1100 - 1570,LOSE: 1650 - 2210,LOSE: -1 - 2740,LOSE: 200 - 540,LOSE: 110 - 720,LOSE: 1130 - 1530,LOSE: -1 - 2260,LOSE: -1 - 2220,WIN: 2470 - 1700
normalRandomWalk.py-second,WIN: 1070 - 680,WIN: 1030 - 770,LOSE: 830 - 1410,LOSE: 1170 - 1560,WIN: 2090 - 2030,WIN: 2480 - 2460,WIN: 990 - 450,LOSE: 580 - 1140,LOSE: 980 - 1290,LOSE: 1160 - 1270,LOSE: 1260 - 1880,LOSE: -1 - 1010,LOSE: 80 - 390,LOSE: 30 - 900,LOSE: 1080 - 1220,LOSE: 1270 - 1520,LOSE: 900 - 1230,LOSE: 750 - 1260
solve4.py-first,LOSE: -1 - 1330,LOSE: -1 - 1970,LOSE: -1 - 1810,LOSE: -1 - 1690,LOSE: -1 - 5210,LOSE: 1670 - 5740,WIN: 590 - 520,LOSE: 1070 - 1480,WIN: 1760 - 1670,LOSE: -1 - 2540,LOSE: 1210 - 3520,LOSE: -1 - 4730,LOSE: 50 - 1200,LOSE: 30 - 1340,LOSE: 850 - 3210,LOSE: 1030 - 2370,LOSE: -1 - 6770,LOSE: -1 - 4820
solve4.py-second,LOSE: 820 - 2780,LOSE: 1120 - 1340,WIN: 2300 - 1880,LOSE: 1090 - 2360,LOSE: 2460 - 3940,LOSE: 2430 - 4240,LOSE: 210 - 560,LOSE: 740 - 1660,LOSE: 1000 - 1620,LOSE: 1190 - 2470,LOSE: 1370 - 3720,LOSE: -1 - 560,LOSE: 170 - 1500,LOSE: 60 - 1600,LOSE: 850 - 2650,LOSE: -1 - 3040,LOSE: -1 - 4110,LOSE: -1 - 3760
