,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 340-1260,LOSE: 340-1260,LOSE: 550-1100,LOSE: 230-1930,LOSE: 280-1460,LOSE: 270-2170,LOSE: 110-1070,LOSE: 360-840,LOSE: 1010-1850,LOSE: 400-2680,LOSE: 730-3320,LOSE: 670-4430,LOSE: 240-370,WIN: 220-80,LOSE: 300-1050,LOSE: 820-1250,WIN: 1750-1120,LOSE: 460-4230
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,WIN: 300-0,WIN: 320-0,WIN: 300-0,WIN: 300-0,WIN: 340-0,,WIN: 300-0,,,WIN: 300-0,WIN: 770-0,,WIN: 290-0,WIN: 220-0,,WIN: 300-0,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
