,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0
solve1.py-second,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0,LOSE: 0-0
solve2.py-first,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 2150-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 0-0,WIN: 2650-0,WIN: 4130-0,WIN: 2960-0,WIN: 4370-0,WIN: 370-0,WIN: 80-0,WIN: 1050-0,WIN: 1380-0,WIN: 1120-0,WIN: 2500-0
solve2.py-second,WIN: 1300-0,WIN: 1300-0,WIN: 2220-0,WIN: 3220-0,WIN: 3560-0,WIN: 1670-0,WIN: 380-0,WIN: 1910-0,WIN: 2910-0,WIN: 3990-0,WIN: 2660-0,WIN: 2750-0,WIN: 1260-0,WIN: 150-0,WIN: 2290-0,WIN: 3340-0,WIN: 3620-0,WIN: 1510-0
solve3.py-first,WIN: 1260-340,WIN: 1260-340,WIN: 1100-550,WIN: 1930-230,WIN: 1460-280,WIN: 2170-270,WIN: 1070-110,WIN: 840-360,WIN: 1850-1010,WIN: 2680-400,WIN: 3320-730,WIN: 4430-670,WIN: 370-240,LOSE: 80-220,WIN: 1050-300,WIN: 1250-820,LOSE: 1120-1750,WIN: 4230-460
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,WIN: 680-480,LOSE: 620-690,WIN: 1190-1150,WIN: 1450-520,LOSE: 850-2350,LOSE: 2550-3770,LOSE: 620-800,LOSE: 800-810,WIN: 1720-720,WIN: 1670-1130,LOSE: 1600-2020,LOSE: 1950-2740,LOSE: 340-740,LOSE: 80-1020,LOSE: 1050-1790,LOSE: 1290-1920,LOSE: 1120-3960,LOSE: 1460-3050
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
