,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,,,,,,,,,,,,,,,,,,
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,LOSE: 800 - 960,WIN: 1300 - 180,LOSE: 1780 - 2320,WIN: 1820 - 840,WIN: 2480 - 2330,LOSE: 2440 - 2520,LOSE: 420 - 1110,WIN: 1130 - 790,WIN: 1510 - 1150,LOSE: 1560 - 1650,WIN: 2120 - 2070,WIN: 2270 - 1280,WIN: 870 - 350,WIN: 1220 - 30,WIN: 1350 - 1260,WIN: 1820 - 1680,LOSE: 2310 - 2800,LOSE: 1480 - 1760
solve5.py-second,,,,,,,,,,WIN: 0 - -1,,,,,,,,
