,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,LOSE: 290 - 1120,LOSE: 310 - 1130,LOSE: 300 - 870,LOSE: 320 - 1010,LOSE: 480 - 900,LOSE: 480 - 1410,LOSE: 130 - 380,LOSE: 230 - 510,LOSE: 220 - 340,LOSE: 230 - 830,LOSE: 440 - 970,LOSE: 770 - 880,LOSE: 190 - 350,WIN: 250 - 150,LOSE: 460 - 470,LOSE: 470 - 930,LOSE: 490 - 1330,LOSE: 430 - 760
solve1.py-second,LOSE: 340 - 650,LOSE: 340 - 600,LOSE: 620 - 1040,LOSE: 230 - 1040,LOSE: 310 - 780,LOSE: 300 - 810,LOSE: 120 - 350,WIN: 260 - 230,WIN: 650 - 510,LOSE: 250 - 430,LOSE: 480 - 950,LOSE: 450 - 1070,LOSE: 250 - 360,WIN: 200 - 80,LOSE: 300 - 750,WIN: 810 - 540,LOSE: 470 - 770,LOSE: 440 - 1110
solve2.py-first,WIN: 300 - 0,WIN: 300 - 0,WIN: 320 - 0,WIN: 320 - 0,WIN: 480 - 0,WIN: 480 - 0,WIN: 150 - 0,WIN: 300 - 0,WIN: 260 - 0,WIN: 330 - 0,WIN: 510 - 0,WIN: 800 - 0,WIN: 190 - 0,WIN: 250 - 0,WIN: 460 - 0,WIN: 480 - 0,WIN: 490 - 0,WIN: 450 - 0
solve2.py-second,WIN: 340 - 0,WIN: 340 - 0,WIN: 640 - 0,WIN: 230 - 0,WIN: 320 - 0,WIN: 300 - 0,WIN: 150 - 0,WIN: 500 - 0,WIN: 280 - 0,WIN: 420 - 0,WIN: 470 - 0,WIN: 480 - 0,WIN: 250 - 0,WIN: 200 - 0,WIN: 300 - 0,WIN: 810 - 0,WIN: 470 - 0,WIN: 450 - 0
solve3.py-first,WIN: 260 - 240,LOSE: 270 - 290,LOSE: 320 - 640,WIN: 320 - 230,WIN: 480 - 320,WIN: 480 - 300,WIN: 140 - 140,WIN: 330 - 300,WIN: 390 - 250,WIN: 490 - 390,LOSE: 400 - 410,WIN: 530 - 390,LOSE: 190 - 250,WIN: 250 - 200,WIN: 460 - 300,LOSE: 480 - 810,WIN: 490 - 470,WIN: 450 - 450
solve3.py-second,LOSE: 240 - 260,WIN: 290 - 270,WIN: 640 - 320,LOSE: 230 - 320,LOSE: 320 - 480,LOSE: 300 - 480,LOSE: 140 - 140,LOSE: 300 - 330,LOSE: 250 - 390,LOSE: 390 - 490,WIN: 410 - 400,LOSE: 390 - 530,WIN: 250 - 190,LOSE: 200 - 250,LOSE: 300 - 460,WIN: 810 - 480,LOSE: 470 - 490,LOSE: 450 - 450
normalRandomWalk.py-first,LOSE: 200 - 420,LOSE: 290 - 820,LOSE: 310 - 960,LOSE: 320 - 640,LOSE: 480 - 1440,LOSE: 480 - 890,LOSE: 150 - 400,LOSE: 260 - 560,LOSE: 240 - 560,LOSE: 230 - 440,LOSE: 440 - 820,WIN: 770 - 670,LOSE: 190 - 270,LOSE: 250 - 310,LOSE: 460 - 820,LOSE: 480 - 810,LOSE: 490 - 700,LOSE: 450 - 710
normalRandomWalk.py-second,LOSE: 340 - 470,LOSE: 330 - 560,WIN: 640 - 400,LOSE: 230 - 630,LOSE: 320 - 580,LOSE: 300 - 700,LOSE: 150 - 210,LOSE: 240 - 410,LOSE: 210 - 330,LOSE: 240 - 650,LOSE: 420 - 860,LOSE: 450 - 880,LOSE: 250 - 290,LOSE: 200 - 310,LOSE: 300 - 760,LOSE: 810 - 890,LOSE: 470 - 640,LOSE: 450 - 780
solve4.py-first,LOSE: 230 - 630,LOSE: 290 - 840,LOSE: 320 - 1210,LOSE: 320 - 1190,LOSE: 480 - 2510,LOSE: 480 - 3020,LOSE: 120 - 580,LOSE: 380 - 880,LOSE: 290 - 1060,LOSE: 280 - 850,LOSE: 580 - 1530,LOSE: 790 - 1470,LOSE: 190 - 350,LOSE: 250 - 920,LOSE: 460 - 1100,LOSE: 480 - 1390,LOSE: 490 - 1350,LOSE: 450 - 1320
solve4.py-second,LOSE: 300 - 990,LOSE: 290 - 1070,LOSE: 640 - 1130,LOSE: 230 - 1060,LOSE: 320 - 1020,LOSE: 300 - 1830,LOSE: 120 - 430,LOSE: 360 - 720,LOSE: 250 - 1020,LOSE: 260 - 1130,LOSE: 450 - 1330,LOSE: 470 - 1530,LOSE: 250 - 510,LOSE: 200 - 1030,LOSE: 300 - 960,LOSE: 810 - 1070,LOSE: 470 - 1440,LOSE: 450 - 1300
solve5.py-first,LOSE: 100 - 920,LOSE: 240 - 660,LOSE: 390 - 520,LOSE: 320 - 450,LOSE: 480 - 1070,LOSE: 480 - 1610,LOSE: 130 - 390,LOSE: 230 - 510,LOSE: 220 - 470,LOSE: 230 - 830,LOSE: 480 - 590,WIN: 630 - 100,WIN: 190 - 180,WIN: 250 - 130,LOSE: 460 - 580,LOSE: 480 - 900,LOSE: 490 - 560,LOSE: 440 - 560
solve5.py-second,LOSE: 340 - 600,LOSE: 340 - 560,WIN: 640 - 600,LOSE: 230 - 560,WIN: 170 - -1,LOSE: 300 - 740,LOSE: 130 - 300,WIN: 320 - 110,WIN: 290 - 150,LOSE: 250 - 360,WIN: 450 - 150,WIN: 460 - 160,WIN: 250 - 180,WIN: 200 - 100,LOSE: 300 - 450,WIN: 810 - 480,WIN: 360 - -1,WIN: 450 - 260
