,A11,A13,A15,A17,A21,A25,B11,B13,B15,B17,B21,B25,C11,C13,C15,C17,C21,C25
solve1.py-first,,,,,,,,,,,,,,,,,,
solve1.py-second,LOSE: 40 - 840,LOSE: 40 - 840,LOSE: 40 - 840,LOSE: 210 - 1040,WIN: 1640 - 1230,WIN: 2610 - 1560,WIN: 480 - 160,LOSE: 820 - 1020,WIN: 800 - 460,WIN: 1280 - 760,LOSE: 1240 - 2260,LOSE: -1 - 2360,LOSE: 70 - 320,LOSE: 30 - 80,,,,LOSE: -1 - 1360
solve2.py-first,,,,,,,,,,,,,,,,,,
solve2.py-second,,,,,,,,,,,,,,,,,,
solve3.py-first,,,,,,,,,,,,,,,,,,
solve3.py-second,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-first,,,,,,,,,,,,,,,,,,
normalRandomWalk.py-second,,,,,,,,,,,,,,,,,,
solve4.py-first,,,,,,,,,,,,,,,,,,
solve4.py-second,,,,,,,,,,,,,,,,,,
solve5.py-first,,,,,,,,,,,,,,,,,,
solve5.py-second,,,,,,,,,,,,,,,,,,
